start_idx,end_idx,start_time,end_time,center_time,label,mean_st_x,mean_st_y,mean_st_z,sd_st_x,sd_st_y,sd_st_z,min_st_x,min_st_y,min_st_z,max_st_x,max_st_y,max_st_z,mean_pitch,mean_sway,sd_pitch,sd_sway,min_pitch,min_sway,max_pitch,max_sway,mean_vedba_s,sd_vedba_s,min_vedba_s,max_vedba_s,psd1_x,psd2_x,psd1_y,psd2_y,psd1_z,psd2_z,mean_gyr_x,mean_gyr_y,mean_gyr_z,sd_gyr_x,sd_gyr_y,sd_gyr_z,min_gyr_x,min_gyr_y,min_gyr_z,max_gyr_x,max_gyr_y,max_gyr_z,experiment_id
0,300,0.0,5.0,2.5,pre-void,0.14231819718690947,0.15218494241993977,0.12935564328799998,0.58063602416927,1.0293084725487525,1.1646360978736894,-1.5845665386935823,-1.702721053739133,-1.8586342323659344,2.316218889885764,1.1200631012857774,1.1893731223050994,0.12971913581588085,0.1527785909358711,0.0,0.0,0.12971913581588085,0.1527785909358711,0.12971913581588085,0.1527785909358711,1.5398723889966572,0.6178870368440531,0.13054152991454257,2.9348250363869797,0.015528397849782688,0.007618836964634479,1.0906102916356093,0.22679125390558363,1.2680742922127548,0.22903548370443846,0.5069010038222361,0.6413051446016191,0.43381999864445275,2.0053163962965894,1.0316906910162111,0.9029444296630885,-3.1604814655305744,-0.4908711551501161,-1.0322573634946912,6.100674528777161,3.1990994277885014,3.4245744072150974,27
300,600,5.0,10.0,7.5,pre-void,-0.26816837852490266,-1.3350736928894347,-1.6010450974280395,1.3234848015624805,0.2129651996347874,0.24677254047782354,-2.5717550743845496,-2.1003709980735796,-2.0750292612950605,3.1139742337856675,-0.7439617475309996,-1.076415429966916,-1.5707963267948966,-1.5707963267948966,0.0,0.0,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,1.2112484754714343,0.6250920041276873,0.12546831174369372,3.387590648672688,4.627098990089682,1.8536881541941814,0.025392479014297326,0.022314093562657948,0.03270718190956836,0.028674694613778362,-0.41270992343758844,2.3782927895530097,1.6305718639311457,1.4149550453776196,2.4718068550881163,2.3901003539806327,-3.9876615631236665,-3.181156390900641,-3.3313778672051297,3.220620559954835,6.401306383919302,7.8438275865561256,27
600,900,10.0,15.0,12.5,pre-void,0.585797185765724,-0.35595923036400967,-0.2815138780312486,0.6373604225184205,0.3066157352003021,0.37434105905801784,-1.1005907664480845,-1.0067225689415795,-1.1768125195238315,2.3277975518497906,0.5409852529914071,0.6518556881141517,-0.28537142896908607,-0.3639403289696027,0.0,0.0,-0.28537142896908607,-0.3639403289696027,-0.28537142896908607,-0.3639403289696027,0.6915722981573678,0.4026170664332257,0.1351775894692218,1.9144463085910155,0.6833217801495353,0.1970718671424985,0.1522428419013055,0.10852239121113752,0.2335004586180372,0.17326568044589766,-0.23243285623187349,-0.42975900754075286,0.03647700139627176,1.3905296700564302,0.612672216060611,0.7169126587145916,-3.6424548135402226,-2.3740221758551683,-1.3990076665904565,3.375918636986767,0.7817348998123542,2.1990929117758893,27
900,1200,15.0,20.0,17.5,pre-void,0.22640993320049962,-0.46640907442753,-0.38853021600295756,0.20203269576069025,0.1160462481192704,0.10827637711141432,-0.3274546953125693,-1.142907629063334,-0.8759771987248202,0.7949240746193934,0.19354943037512548,-0.04120775243405621,-0.3990359536565142,-0.485226893483462,0.0,0.0,-0.3990359536565142,-0.485226893483462,-0.3990359536565142,-0.485226893483462,0.21743987351246594,0.1368488841976686,0.025916173928981705,0.8339561628314955,0.011082603589394308,0.010236262717627247,0.0007178707265688467,0.0007055533577288084,0.0009481079902717295,0.000943159102142145,0.06401541546752305,-0.16041698339835309,-0.07080701227492926,0.46720010504243215,0.2033570359934167,0.24660483888688398,-3.17675163629249,-1.3737741150620209,-0.7363600776410882,1.0078782965874984,0.3453487489160892,0.738033834402135,27
1200,1500,20.0,25.0,22.5,pre-void,0.13328891759562014,-0.2530474604320137,-0.1446298879427915,0.06149552703179482,0.06562561756653817,0.07113253363381707,-0.05141305101529673,-0.4919877231844726,-0.36635609299816213,0.3063812903182344,-0.13759428656659758,-0.03037670791124443,-0.14513891743960583,-0.25582894386717475,0.0,0.0,-0.14513891743960583,-0.25582894386717475,-0.14513891743960583,-0.25582894386717475,0.09746811068888334,0.06040054855556725,0.008057335939602565,0.33262865191705604,0.003050056810823849,0.0010530143879554784,0.0036675206587801225,0.0003927532500721524,0.004541495661625433,0.0005175589920076713,-0.07426566215478653,-0.165446138203381,-0.05858391760490111,0.1801968087299098,0.042880461451649296,0.07296553261648009,-1.0611167938739063,-0.2711398854543768,-0.3260890728969277,0.3760344078819049,-0.026817828766978163,0.10245361217723835,27
1500,1800,25.0,30.0,27.5,pre-void,0.08877768284355789,-0.14847221293946164,-0.029879082348050895,0.07236480773136723,0.035667769579955266,0.034890101494398834,-0.49388597156165254,-0.3126520720731871,-0.17652663088310028,0.4338037149120786,0.05656980158089678,0.14009065191490586,-0.029883529941144887,-0.1490231830051525,0.0,0.0,-0.029883529941144887,-0.1490231830051525,-0.029883529941144887,-0.1490231830051525,0.06329036324987411,0.06099593664167282,0.004382208226739298,0.583251943682181,0.001514970657726553,0.0008344814380145468,0.0010959620094113255,0.001093945202125238,0.0013798857909202288,0.0013037957066518717,0.026220531695545127,-0.16904769285302754,-0.06195701800925724,0.12536999846762306,0.03858760665073702,0.07082925411557993,-0.49107090087697286,-0.34671129487763985,-0.5898233813343269,0.39322810280350934,-0.03648970844450698,0.03262521016216976,27
1800,2100,30.0,35.0,32.5,pre-void,0.10034979363982903,-0.19156436802898133,-0.07717196079730397,0.03587430968068286,0.06229727436021877,0.06520333134933445,-0.03541825114600428,-0.35045086116096835,-0.23002492726624021,0.23040792457682113,-0.07067510669818125,0.052445163769365,-0.07724876656423689,-0.1927557860867411,0.0,0.0,-0.07724876656423689,-0.1927557860867411,-0.07724876656423689,-0.1927557860867411,0.08518601662403436,0.04650519840360591,0.008447900919645172,0.21819085355604054,0.00036520742380207496,0.00035732244439309234,0.0064871324489264165,0.002139704126080873,0.0074599701909961805,0.002130004018110935,-0.016084706584459124,-0.16690989367248854,-0.05926244823079255,0.19010465993206946,0.02542868972338401,0.04414549698721889,-0.5554320984238214,-0.2223726005600726,-0.20614974797674424,0.5479089759259194,-0.08315407389574785,0.04654022877642603,27
2100,2400,35.0,40.0,37.5,void,0.0985870777821562,-0.07259039914405671,0.04997693477446274,0.030569873229797886,0.029311873647229186,0.03067275221743217,-0.025045235176541752,-0.19175149270750752,-0.07062679833382146,0.18065778062631244,-0.008110753067278117,0.11321060526447413,0.04999776270787692,-0.07265430168441195,0.0,0.0,0.04999776270787692,-0.07265430168441195,0.04999776270787692,-0.07265430168441195,0.04384146193141802,0.028503456462419727,0.00326690747884112,0.17289028535636844,0.0001715579090242882,0.00014610174954466789,0.0004031008591881713,8.125578457297977e-05,0.00043605382611122917,8.81968040893696e-05,0.045586582245099525,-0.16162504523086965,-0.06121142524342909,0.09250840909420899,0.017097464417989698,0.03195410276529416,-0.18330774263205568,-0.19774513643985,-0.17956326397446112,0.37262685128351397,-0.10234073593058847,0.020810380431114963,27
2400,2700,40.0,45.0,42.5,void,0.09411668140177681,-0.3817854425911059,-0.29066606407985984,0.0744452103750299,0.13168345816779664,0.14897132237719135,-0.07303354542905675,-0.6051430582565542,-0.549250462993352,0.3024873156659025,-0.09443554009237785,0.05290298934056443,-0.2949228835554549,-0.3917273000017452,0.0,0.0,-0.2949228835554549,-0.3917273000017452,-0.2949228835554549,-0.3917273000017452,0.18602062346589376,0.1023298834113552,0.006151317600083142,0.44832929917190273,0.0010188931333041564,0.0008176701177689783,0.012370178861174091,0.0005989570387757885,0.01606951293969715,0.0008146674397371943,0.18320245168315122,-0.16348788510270804,-0.045860389703505026,0.18080545624328004,0.04770638825100831,0.08144956242310543,-0.26732420256811823,-0.3308282581483704,-0.4076212587426931,0.872560877451523,-0.019792048832914258,0.20390079505158792,27
2700,3000,45.0,50.0,47.5,void,0.1934048272002298,-0.6586303363894901,-0.6172845798089149,0.03721110588616018,0.04717610684574032,0.05636051596210767,-0.0017172621726616764,-0.7594673144778347,-0.71924577165688,0.334682747388116,-0.5679971746067448,-0.5167168354596391,-0.6652865263743744,-0.7189970758988318,0.0,0.0,-0.6652865263743744,-0.7189970758988318,-0.6652865263743744,-0.7189970758988318,0.07781881858182818,0.027036839542284478,0.0047502447202488005,0.19583936664737248,0.0005350690872842822,0.00033364230393660656,0.003887792315520926,0.0008379188541707226,0.006097660619436241,0.0013100747892478826,0.05852692655200852,-0.16343900298158814,-0.05874752557848729,0.14812303833304533,0.02491914745792705,0.04263664624741647,-0.24605526897735305,-0.2535368051212341,-0.17455536985441614,0.6195202289596446,-0.08800199566378683,0.09569417282945697,27
3000,3300,50.0,55.0,52.5,void,0.2523476805213997,-0.7449713433734885,-0.7261386191915697,0.053269212228490743,0.03619772975303041,0.04337340525239993,0.06978690050370666,-0.8399502179803923,-0.845747068131147,0.4511625520853787,-0.6597564696099889,-0.6211287704537689,-0.8126890062937377,-0.8404918828223492,0.0,0.0,-0.8126890062937377,-0.8404918828223492,-0.8126890062937377,-0.8404918828223492,0.06735505048412134,0.0386320342227508,0.0053211905746055185,0.21003233433148216,0.000852963790143344,0.0003398841373666601,0.0003231595349833926,0.00022631990405320074,0.0006533099830987473,0.0004006880670001224,0.06971607657221258,-0.16585380999271052,-0.043036192986739295,0.17311204063923183,0.025639679711826166,0.04430742934975541,-0.2637974899236716,-0.24356096128077553,-0.13735917508253156,0.7168581650582286,-0.0825585428159151,0.11305794805292664,27
3300,3600,55.0,60.0,57.5,void,0.33082380083623686,-0.8047148294172424,-0.8031765100374929,0.026921634749775894,0.02198683640821612,0.025482106691307287,0.24333050537613402,-0.876736231841854,-0.8781757324367457,0.3978392704559999,-0.7245330987999182,-0.7145961992722027,-0.9326082451879688,-0.9351949528524351,0.0,0.0,-0.9326082451879688,-0.9351949528524351,-0.9326082451879688,-0.9351949528524351,0.03749405253873473,0.021253921485028745,0.0038911643623666704,0.13327373553093133,0.0002663256976676229,0.00020569597486861608,0.0002675958498387082,0.00022896902182264632,0.0005410624087399942,0.0003912620089328207,0.03462052744727114,-0.17361282757421667,-0.06174597795544018,0.14074664101838807,0.01934590429051714,0.03040987972241304,-0.302775894394951,-0.21810424424856534,-0.14859678292088938,0.5915000084479236,-0.11646662691438166,0.024553685837907617,27
