config,fold,model,best_params,optimization_score,n_trials,train_size,test_size,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_positive,recall_positive,f1_positive,precision_negative,recall_negative,f1_negative,auc
1s_0.8,2,RF,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 288, 'clf__max_depth': 13, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",-0.49265108321569634,50,10258,1658,0.7828709288299156,0.7803841087556128,0.8088425089420701,0.7771345616173202,0.8251468700930624,0.7828709288299156,0.7880034679148693,0.6331288343558282,0.8942807625649913,0.7413793103448276,0.9276393831553974,0.723404255319149,0.8128898128898129,0.8844496959455668
1s_0.8,2,XGB,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 129, 'clf__max_depth': 3, 'clf__learning_rate': 0.04553684532317553, 'clf__subsample': 0.7514972659882362, 'clf__colsample_bytree': 0.8853655486676323, 'clf__min_child_weight': 9, 'clf__gamma': 0.7938576352287963, 'clf__reg_alpha': 0.007018696814178965, 'clf__reg_lambda': 1.6297365372497081}",-0.5039923687519521,50,10258,1658,0.781664656212304,0.7827795199394649,0.8115535874895989,0.776750005951389,0.829603796480225,0.781664656212304,0.7868190455103367,0.6287425149700598,0.9098786828422877,0.7436260623229461,0.93681652490887,0.7132284921369103,0.8098739495798319,0.8910277889559222
1s_0.8,2,DT,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 5, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__splitter': 'random', 'clf__class_weight': None}",-0.5974602304302672,50,10258,1658,0.6743063932448733,0.6349809357547964,0.624582155620077,0.6278134727432357,0.6646516402083874,0.6743063932448733,0.6678005579528353,0.5373737373737374,0.4610051993067591,0.4962686567164179,0.7325881341358556,0.788159111933395,0.7593582887700535,0.7240022637746357
1s_0.8,3,RF,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 411, 'clf__max_depth': 6, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",-0.5374513980008638,50,9253,2663,0.7653022906496433,0.7729577217540999,0.7844167239015041,0.7640239762273695,0.7985827875468618,0.7653022906496433,0.7676697811357932,0.6508833922261484,0.8754752851711026,0.7466558573165788,0.8950320512820513,0.6933581626319056,0.7813920951381602,0.853179660744926
1s_0.8,3,XGB,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 77, 'clf__max_depth': 6, 'clf__learning_rate': 0.03452601603333797, 'clf__subsample': 0.9445646275427255, 'clf__colsample_bytree': 0.6506091688707183, 'clf__min_child_weight': 7, 'clf__gamma': 1.557694865684895, 'clf__reg_alpha': 1.8709754833274472, 'clf__reg_lambda': 0.08934261077198846}",-0.5095853612140951,50,9253,2663,0.7645512579797221,0.7536959751007993,0.7539456634874779,0.7538197576002594,0.7646690368174681,0.7645512579797221,0.7646091617587479,0.7014218009478673,0.7034220532319392,0.702420503084955,0.8059701492537313,0.8044692737430168,0.8052190121155638,0.8478119770683018
1s_0.8,3,DT,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",-0.5813908262259758,50,9253,2663,0.7142320690950056,0.7035978335131454,0.7088932906609267,0.7052846796513169,0.7197076917523321,0.7142320690950056,0.7160639699509332,0.6268526591107236,0.6834600760456274,0.6539336061846294,0.7803430079155673,0.7343265052762259,0.7566357531180045,0.7599328995286682
1s_0.8,4,RF,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 455, 'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",-0.4564439545035485,50,10099,1817,0.7380297193175565,0.7492608915323933,0.74185062224552,0.7367839934945573,0.7517450448883228,0.7380297193175565,0.7360764212270937,0.8128342245989305,0.6440677966101694,0.7186761229314421,0.6856875584658559,0.8396334478808706,0.7548918640576725,0.8147727493350418
1s_0.8,4,XGB,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 182, 'clf__max_depth': 3, 'clf__learning_rate': 0.019087455461355006, 'clf__subsample': 0.8577549276676641, 'clf__colsample_bytree': 0.6739321497230917, 'clf__min_child_weight': 5, 'clf__gamma': 2.2521755656595843, 'clf__reg_alpha': 1.2240566635652614, 'clf__reg_lambda': 0.7208282744216921}",-0.47493487823414343,50,10099,1817,0.7187671986791414,0.7396173055717714,0.724130943366921,0.7153875274539165,0.7427872361700086,0.7187671986791414,0.7141756251458814,0.8207407407407408,0.586864406779661,0.6843730697961705,0.658493870402802,0.861397479954181,0.7464019851116626,0.81599103034539
1s_0.8,4,DT,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 9, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",-0.5571983574110663,50,10099,1817,0.6653824986241057,0.6790600812521685,0.6590554439202438,0.6531667633636484,0.6774707058567635,0.6653824986241057,0.6557102155733037,0.6383855024711697,0.8209745762711864,0.7182576459684893,0.7197346600331676,0.49713631156930127,0.5880758807588076,0.6682131797619741
1s_0.8,5,RF,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 297, 'clf__max_depth': 9, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",-0.4906990762235817,50,9195,2721,0.8140389562660787,0.8132251402136094,0.814279875640739,0.8135382640209319,0.8147772636126486,0.8140389562660787,0.8141952006546351,0.7903963414634146,0.8178233438485805,0.8038759689922481,0.8360539389638041,0.8107364074328974,0.8232005590496156,0.8943830994722113
