,Model,Fold,Test_Experiment,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
41,XGB,1,1,50,4,39,23,23,50,4,39,0.3709677419354839,0.9259259259259259,0.8518518518518519,0.5617977528089888
42,XGB,2,2,39,20,1,29,29,39,20,1,0.9666666666666667,0.6610169491525424,0.5918367346938775,0.975
43,XGB,3,3,89,22,14,27,27,89,22,14,0.6585365853658537,0.8018018018018018,0.5510204081632653,0.8640776699029126
44,XGB,4,4,51,20,3,62,62,51,20,3,0.9538461538461539,0.7183098591549296,0.7560975609756098,0.9444444444444444
45,XGB,5,5,28,7,25,24,24,28,7,25,0.4897959183673469,0.8,0.7741935483870968,0.5283018867924528
46,XGB,6,6,115,7,48,8,8,115,7,48,0.14285714285714285,0.9426229508196722,0.5333333333333333,0.7055214723926381
47,XGB,7,7,50,9,7,45,45,50,9,7,0.8653846153846154,0.847457627118644,0.8333333333333334,0.8771929824561403
48,XGB,8,8,40,10,23,32,32,40,10,23,0.5818181818181818,0.8,0.7619047619047619,0.6349206349206349
49,XGB,9,9,65,14,9,105,105,65,14,9,0.9210526315789473,0.8227848101265823,0.8823529411764706,0.8783783783783784
50,XGB,10,10,56,17,29,57,57,56,17,29,0.6627906976744186,0.7671232876712328,0.7702702702702703,0.6588235294117647
51,XGB,11,11,91,59,58,19,19,91,59,58,0.24675324675324675,0.6066666666666667,0.24358974358974358,0.610738255033557
52,XGB,12,12,39,76,53,27,27,39,76,53,0.3375,0.3391304347826087,0.2621359223300971,0.42391304347826086
53,XGB,13,13,66,6,24,26,26,66,6,24,0.52,0.9166666666666666,0.8125,0.7333333333333333
54,XGB,14,14,56,11,74,12,12,56,11,74,0.13953488372093023,0.835820895522388,0.5217391304347826,0.4307692307692308
55,XGB,15,15,11,0,26,36,36,11,0,26,0.5806451612903226,1.0,1.0,0.2972972972972973
56,XGB,16,16,23,6,21,45,45,23,6,21,0.6818181818181818,0.7931034482758621,0.8823529411764706,0.5227272727272727
57,XGB,17,17,25,23,19,30,30,25,23,19,0.6122448979591837,0.5208333333333334,0.5660377358490566,0.5681818181818182
58,XGB,18,18,147,33,0,48,48,147,33,0,1.0,0.8166666666666667,0.5925925925925926,1.0
59,XGB,19,19,42,22,0,21,21,42,22,0,1.0,0.65625,0.4883720930232558,1.0
60,XGB,20,20,33,11,30,8,8,33,11,30,0.21052631578947367,0.75,0.42105263157894735,0.5238095238095238
61,XGB,21,21,31,24,0,34,34,31,24,0,1.0,0.5636363636363636,0.5862068965517241,1.0
62,XGB,22,22,100,63,1,36,36,100,63,1,0.972972972972973,0.6134969325153374,0.36363636363636365,0.9900990099009901
63,XGB,23,23,33,0,25,61,61,33,0,25,0.7093023255813954,1.0,1.0,0.5689655172413793
64,XGB,24,24,74,23,21,27,27,74,23,21,0.5625,0.7628865979381443,0.54,0.7789473684210526
65,XGB,25,25,110,0,70,20,20,110,0,70,0.2222222222222222,1.0,1.0,0.6111111111111112
66,XGB,26,26,127,5,22,8,8,127,5,22,0.26666666666666666,0.9621212121212122,0.6153846153846154,0.8523489932885906
67,XGB,27,27,195,65,0,71,71,195,65,0,1.0,0.75,0.5220588235294118,1.0
68,XGB,28,28,36,9,8,56,56,36,9,8,0.875,0.8,0.8615384615384616,0.8181818181818182
69,XGB,29,29,28,8,20,31,31,28,8,20,0.6078431372549019,0.7777777777777778,0.7948717948717948,0.5833333333333334
70,XGB,30,30,21,2,49,48,48,21,2,49,0.4948453608247423,0.9130434782608695,0.96,0.3
71,XGB,31,31,63,28,12,22,22,63,28,12,0.6470588235294118,0.6923076923076923,0.44,0.84
72,XGB,32,32,39,12,1,18,18,39,12,1,0.9473684210526315,0.7647058823529411,0.6,0.975
73,XGB,33,33,37,30,43,4,4,37,30,43,0.0851063829787234,0.5522388059701493,0.11764705882352941,0.4625
74,XGB,34,34,74,2,16,0,0,74,2,16,0.0,0.9736842105263158,0.0,0.8222222222222222
75,XGB,35,35,31,2,111,10,10,31,2,111,0.08264462809917356,0.9393939393939394,0.8333333333333334,0.21830985915492956
76,XGB,36,36,30,48,0,64,64,30,48,0,1.0,0.38461538461538464,0.5714285714285714,1.0
77,XGB,37,37,33,56,0,74,74,33,56,0,1.0,0.3707865168539326,0.5692307692307692,1.0
78,XGB,38,38,27,9,1,64,64,27,9,1,0.9846153846153847,0.75,0.8767123287671232,0.9642857142857143
79,XGB,39,39,14,13,11,51,51,14,13,11,0.8225806451612904,0.5185185185185185,0.796875,0.56
